Generating SQLite file /gpfs/scratch/rsk8552/GPT2-Optimization/benchmarks/bigpurple_v100_2026-01-27/8gpu_2node_accum2_bucket200_nsys80/profiles/nsys_17776175_gn-0013.sqlite from /gpfs/scratch/rsk8552/GPT2-Optimization/benchmarks/bigpurple_v100_2026-01-27/8gpu_2node_accum2_bucket200_nsys80/profiles/nsys_17776175_gn-0013.nsys-rep
Processing [/gpfs/scratch/rsk8552/GPT2-Optimization/benchmarks/bigpurple_v100_2026-01-27/8gpu_2node_accum2_bucket200_nsys80/profiles/nsys_17776175_gn-0013.sqlite] with [/gpfs/share/apps/cuda/12.9/nsight-systems-2025.1.3/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances      Avg (ns)          Med (ns)         Min (ns)        Max (ns)      StdDev (ns)     Style                  Range                
 --------  ---------------  ---------  ----------------  ----------------  --------------  --------------  --------------  -------  ------------------------------------
     24.5  62,14,25,70,603        320    19,41,95,533.1    14,19,66,898.0     3,14,93,573  4,34,96,37,896  34,82,10,643.2  PushPop  :train/backward                     
     24.5  62,13,38,03,775        320    19,41,68,136.8    14,19,44,361.0     3,14,72,472  4,34,95,81,113  34,82,07,645.6  PushPop  :DeepSpeedEngine.backward           
     16.8  42,59,24,66,395        320    13,31,01,457.5     3,35,86,866.0          13,542  4,29,72,00,762  34,14,26,928.0  PushPop  :DeepSpeedEngine.allreduce_gradients
     10.7  27,13,02,09,280        320     8,47,81,904.0     1,46,49,540.0        6,74,442    67,79,74,718  10,80,89,596.8  PushPop  :train/optimizer_step               
      8.3  21,12,30,57,501        520     4,06,21,264.4          64,280.0          34,841  4,39,08,92,370  36,05,23,026.9  PushPop  NCCL:ncclAllReduce                  
      3.7   9,32,56,71,259        320     2,91,42,722.7     1,87,44,158.5     1,57,47,533    69,51,88,532   6,40,42,045.5  PushPop  :train/forward                      
      3.7   9,31,12,28,529        320     2,90,97,589.2     1,87,10,468.5     1,57,18,152    69,48,83,585   6,40,14,080.0  PushPop  :DeepSpeedEngine.forward            
      3.1   7,97,79,12,572        320     2,49,30,976.8        2,28,630.0        1,75,698  2,69,85,12,333  22,55,24,873.7  PushPop  :train/dataload                     
      1.8   4,51,57,36,416          4  1,12,89,34,104.0  1,14,86,02,597.0  1,05,33,87,914  1,16,51,43,308   5,14,81,568.7  PushPop  NCCL:ncclCommSplit                  
      1.0   2,66,32,04,325        788       33,79,700.9          29,169.0          26,629    66,96,86,367   4,69,03,494.9  PushPop  NCCL:ncclBroadcast                  
      1.0   2,53,20,27,789          8    31,65,03,473.6    32,45,43,081.5    19,18,82,953    44,92,63,297   9,71,27,614.4  PushPop  NCCL:ncclCommDestroy                
      0.8   1,90,98,85,520          4    47,74,71,380.0    53,35,30,645.0    28,25,18,811    56,03,05,419  13,18,42,100.6  PushPop  NCCL:ncclCommInitRankConfig         
      0.1     32,31,36,609        320       10,09,801.9        6,30,417.5        4,51,204     3,63,32,958     26,42,689.2  PushPop  :train/loss                         
      0.1     24,35,30,626          8     3,04,41,328.3       69,88,538.0       13,27,030    14,77,48,712   5,09,41,090.4  PushPop  NCCL:ncclCommFinalize               
      0.0        93,91,505        152          61,786.2          57,372.0          43,220        1,42,339        16,552.6  PushPop  NCCL:ncclAllGather                  

Processing [/gpfs/scratch/rsk8552/GPT2-Optimization/benchmarks/bigpurple_v100_2026-01-27/8gpu_2node_accum2_bucket200_nsys80/profiles/nsys_17776175_gn-0013.sqlite] with [/gpfs/share/apps/cuda/12.9/nsight-systems-2025.1.3/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)    Num Calls      Avg (ns)           Med (ns)         Min (ns)        Max (ns)          StdDev (ns)              Name         
 --------  ------------------  ---------  -----------------  -----------------  ------------  -----------------  -----------------  ----------------------
     35.4  49,56,78,03,98,040   1,29,400      3,83,05,876.3            2,810.0         1,487     5,01,12,19,743     13,94,06,400.1  poll                  
     21.4  29,95,60,46,27,339     17,330     17,28,56,585.5     10,09,44,636.5         1,861  1,86,01,13,14,789   2,82,88,52,404.5  pthread_cond_timedwait
     11.5  16,08,25,98,08,339        801   2,00,78,14,991.7     48,88,34,179.0        36,436  2,84,07,40,88,242  14,92,62,09,701.2  sem_wait              
     10.2  14,27,47,48,88,515        407   3,50,73,09,308.4   4,00,07,55,351.0        14,311     5,00,98,80,819   1,50,97,14,636.3  sem_timedwait         
      6.1   8,48,61,91,35,497        881     96,32,45,329.7      5,02,97,747.0        12,677  1,62,78,72,86,742   8,44,32,43,488.3  pthread_cond_wait     
      5.2   7,29,57,06,99,435      6,915     10,55,05,524.1     10,08,35,408.0  10,00,09,717     1,00,66,40,973      6,01,12,836.8  clock_nanosleep       
      3.8   5,35,79,25,06,372      2,459     21,78,90,405.2      4,28,02,249.0         1,637    35,49,22,02,743     90,21,43,420.0  epoll_pwait           
      1.5   2,04,53,24,76,634     89,580        22,83,238.2            8,224.0         1,159  1,40,37,76,62,516     46,95,32,425.8  read                  
      1.4   1,93,60,92,55,389        679     28,51,38,815.0      1,15,04,084.0         6,794     5,07,42,25,580     48,34,27,326.2  accept4               
      1.2   1,68,58,78,52,111     10,002      1,68,55,414.1            1,713.0         1,069    72,35,62,58,820     78,36,32,556.7  waitpid               
      0.8   1,07,56,96,90,977     30,274        35,53,203.8           55,806.5         2,628       12,15,94,937        97,62,801.7  open64                
      0.5     76,86,14,11,332          6  12,81,02,35,222.0   1,61,15,34,524.0         8,729    68,78,03,84,737  27,49,31,82,283.8  ppoll                 
      0.5     67,13,51,40,656          7   9,59,07,34,379.4  10,82,91,56,556.0  10,49,24,095    26,89,53,36,512   9,48,60,15,774.7  system                
      0.3     36,98,65,55,574     91,591         4,03,823.0           12,741.0         2,247       11,23,24,210        41,48,189.2  open                  
      0.1     20,47,31,14,146   1,56,344         1,30,949.2           55,733.0         5,668        2,03,47,846         8,23,003.6  usleep                
      0.1     10,02,68,57,955         50     20,05,37,159.1      3,47,37,868.5         1,029     2,76,84,70,964     49,16,37,389.7  pthread_join          
      0.1      8,47,73,71,300  18,59,231            4,559.6            3,135.0         2,430       20,16,82,674         2,35,538.3  accept                
      0.1      7,08,59,94,548  49,01,650            1,445.6            1,100.0         1,021        2,90,15,241           60,073.2  recv                  
      0.0      3,06,66,07,584     13,413         2,28,629.5           23,288.0         1,024        7,92,90,923        20,29,809.6  ioctl                 
      0.0      2,07,14,13,572      1,221        16,96,489.4           10,751.0         2,212       26,63,67,350      1,05,25,774.5  fopen64               
      0.0      1,78,30,83,717        438        40,70,967.4           16,995.5         1,155       20,60,72,273      1,80,51,383.2  pthread_mutex_lock    
      0.0      1,21,00,89,264     86,532           13,984.3            1,763.0         1,479        4,33,73,862         4,64,960.6  mmap64                
      0.0      1,13,60,50,457        971        11,69,979.9            6,639.0         2,217       17,02,06,933        79,63,135.9  fopen                 
      0.0        99,40,61,540     85,894           11,573.1            3,237.0         2,616        2,27,83,681         3,21,546.6  munmap                
      0.0        85,61,02,728          2     42,80,51,364.0     42,80,51,364.0     51,76,497       85,09,26,231     59,80,35,372.1  writev                
      0.0        75,26,00,119         85        88,54,119.0      1,09,96,854.0        56,208        2,10,00,806        50,47,037.2  sleep                 
      0.0        49,03,70,149   2,11,968            2,313.4            1,165.0         1,131        2,11,30,668         1,02,280.3  recvmsg               
      0.0        42,02,52,184          9      4,66,94,687.1      5,46,05,162.0      6,87,064        7,21,14,033      2,38,12,607.2  fork                  
